commit,date,subject,status,isa1_median,isa2_median,isa3_median
ad56036cc3bfbf2b8f53c79d54f48a0681a7d9bf,2026-01-12T01:53:12-05:00,refactor: simplify and improve edge case logic,OK,0.015866,0.012015,0.007688
17239550b7205388e29a183d6a1efba3ab838610,2026-01-12T03:45:08-05:00,fix: cts rho reflect edge case,OK,0.015817,0.011788,0.007609
8564c063e7e1995dd68248be98f96978bffee0a9,2026-01-12T15:37:10-05:00,fix: improved basis gate legend in trajectory plots,OK,0.016255,0.012162,0.007777
a51f11c80399cbb63126fb959993387270f324a0,2026-01-18T16:09:41-05:00,fix: improve 00 and 01 notebooks,OK,0.015883,0.011553,0.007509
0a430329c3d4b309231e16505c69d8f54b462b92,2026-01-27T03:18:05-05:00,fix: faster quarternion local parameterization,OK,0.009756,0.009733,0.007554
3c564b5cf633aa735b70a437a8e727e0ad6b4f0a,2026-02-03T18:02:39-05:00,fix: ensure result is not none,OK,0.009734,0.009798,0.007531
3e4e441af9fe3b3499eca845a4239d036895969e,2026-02-16T19:46:01-05:00,feat: nuop;bqskit comparison notebook,OK,0.009803,0.00943,0.007661
9f788b40d5ea5c1104b3e7d25e70cc4410e7241f,2026-02-24T17:47:32-05:00,fix: close #14 by adjusting tolerance on weyl branching,OK,0.016663,0.012132,0.007676
6eb49b30d9d33b7c8f1f7b4bb41439ff95efba90,2026-02-24T17:52:55-05:00,fix: close #13; sanitize inf params near-zero residuals,OK,0.00958,0.009542,0.007517
db7accc2b07a5dbc7e37318862e4b48dbb53393b,2026-03-02T18:35:12-05:00,chore: commit history benchmark [skip ci],OK,0.011326,0.010562,0.0086
e403cbfc9d8d499201dce734d2f5627ee6711dfb,2026-03-02T20:57:13-05:00,fix: double counting total time in viz,OK,0.011922,0.010926,0.008753
b39d0ac3e6a6ba8cd7db21a4ed8392c867d08038,2026-03-02T23:06:08-05:00,feat: remove jaxopt dependency; performance increase,OK,0.007813,0.008584,0.007666
4c9cde2f1031a27faec43b1e38dbd552f4a7c257,2026-03-02T23:55:50-05:00,test: update test fixtures,OK,0.007586,0.008056,0.007198
3e5fe8f4bca85b4fbd41d36149102427bbe6dab1,2026-03-03T00:25:20-05:00,perf: hardcode highs call,OK,0.007396,0.007912,0.007206
